id,raw_id,dedup_key,review_text,rating,review_date,product_name,imported_at,analyzed,sentiment,confidence
9,11,750653736c2218c22a621767a80a20dbf3529fb896b33574bdff4a204915b792,가격 대비 성능이 훌륭합니다.,4,2026-07-30,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,긍정,0.98
21,24,c3d8219e60a5b2aeecc241677d77c6548530a8664aef9118739e2c2f66c54ba1,착용감이 편안해서 하루종일 껴도 안 아파요.,5,2026-07-28,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,긍정,0.92
33,38,2f2b68c888a42a4ecac134297599a1af4b95575ddf64320b5313d0c94923699a,"Poor connection, very disappointed with this purchase.",2,2026-07-28,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,부정,1.0
12,14,b7ba6c0031e6ddaf3f34986d79f31c5dc2bbf47f09c985dd0f84c9339396a8af,배터리가 너무 빨리 닳아요.,1,2026-07-26,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
28,32,54071d9b534171a41177afb310aa14412a15c3c5c97014cdfdfe4f7581620edb,연결이 자꾸 끊겨서 불편해요.,1,2026-07-26,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,부정,0.91
17,20,7ce56c1d5547019d3c20faac27fd349f30a4b9c6a83d76044d078522fde741c7,배송도 빠르고 포장도 꼼꼼했어요.,4,2026-07-22,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,긍정,0.98
6,7,0b65f298f8a91ff5f4a9b7762aa3e9ddb722dd61ca1d3a747c7a0cf9909e6216,나쁘지 않지만 특별하지도 않아요.,3,2026-07-19,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
1,1,4466be691eb7cbece29ea8108d9a129c14211c61388a5ff5b59b367ed004871a,그냥 무난한 제품입니다.,3,2026-07-18,스마트워치 S2,2026-08-16T13:57:24.587210+00:00,1,중립,0.5
2,2,ca062c216f495d707ef7b0c481f07d57a59420d643a97dafb6307877cdac49b5,배송도 빠르고 포장도 꼼꼼했어요.,4,2026-07-18,무선이어폰 X1,2026-08-16T13:57:24.587210+00:00,1,긍정,0.98
27,31,610f773fc79c4e42c03c64ceae1d22aa84b43418dc29837fdbb692d3d771096b,가격 대비 성능이 훌륭합니다.,4,2026-07-17,블루투스 스피커 M3,2026-08-16T13:57:24.587210+00:00,1,긍정,0.98
